Sector,Portfolio Return,Portfolio Weight,Benchmark Return,Avg Benchmark Weight*,Selection,Allocation,Portfolio Weighted Return,Benchmark Weighted Return*
Communications,0.0,0.0,0.009561580733330466,0.0391,-0.0,0.0008148599096532723,0.0,0.00037385780667322123
Consumer_Disrectionary,0.0,0.0,0.055694962034833484,0.0965,-0.0,-0.0024407720300824894,0.0,0.005374563836361431
Consumer_Staples,0.027471255860904487,0.2374156424867836,0.0291495451525281,0.1351,-0.00039845213044950915,-0.0001281444567432504,0.006522105860135458,0.003938103550106546
Energy_Renewables,0.13772771763731573,0.179607396681446,0.0035131635831426866,0.038,0.024105926650431236,-0.0038076563730773637,0.024736916815715555,0.0001335002161594221
Financials,0.0,0.0,0.0006185697269172064,0.1501,-0.0,0.00447049102722775,0.0,9.284731601027268e-05
Health_Care,0.00664420107012309,0.21906461027860394,0.0053273188463880405,0.1572,0.00028848229112534,-0.001551234612152935,0.001455509318039198,0.0008374545226522
Information_Technology,0.0,0.0,0.049806947718014305,0.0778,-0.0,-0.0015097058948604592,0.0,0.0038749805324615125
Industrials,0.028192874940831118,0.21841940195452195,0.0372357872443414,0.147,-0.0019751474972599043,0.0004880658815451903,0.006157870883954961,0.005473660724918185
Utilities,0.0495156974028399,0.14549294859864442,0.053483478313933075,0.0456,-0.0005772841441483621,0.0023056781624868398,0.007204184817057416,0.002438846611115348
Other,0.0,0.0,0.028108471797198886,0.1136,-0.0,0.0002605433985873028,0.0,0.0031931223961617935
