timestamp,BLK,DIS,GOOG,WMT,PG,JNJ,MSFT,DG,WM,NSRGY,VWDRY,NVS,SBGSY,IBDSF,PORT
2020-12-11,572.4499561213779,144.69347701691913,1467.1665011353616,121.04450815916061,112.40670165911342,125.94392621459247,175.60510983064796,170.1292918683257,95.03229340086364,93.21250308992148,55.90279989827013,76.26627672217774,22.891409758333566,11.11633238196373,302.990592809165
2020-12-14,563.6670208033138,139.53215394601557,1450.5904703076521,120.04050209253364,111.96363628775543,122.85917800212701,176.53742711558607,169.69680524497562,94.5983471406089,92.40605553256273,56.59582151958148,74.6286871700022,23.117996108568377,11.39828495949871,299.8547796912903
2020-12-15,574.685914159716,143.17349445790023,1455.0868549025035,119.82981081284561,112.47934269979669,123.93718412429007,176.25468918621482,171.0278721751274,96.12395235911026,92.74916162338104,57.49493060279656,74.05610722288475,23.32722086830063,11.301437195446397,301.3978889447176
2020-12-16,574.5867247426504,142.43517287015857,1450.5153468847275,119.65311189651402,112.93944858998111,123.14159348398425,180.4135016983746,173.61755796760372,95.50528878182195,93.11107155472018,58.168707089125746,74.84593470036998,23.13584388639788,11.395143566466913,301.5605662477362
2020-12-17,578.7164068901329,142.25893796495438,1432.7536546796036,119.75817539318086,113.32352536916733,125.92231040776824,179.85857308499908,174.22723806909562,96.32294906485367,94.18353155757904,59.16594644289398,75.39600899729157,23.386041639026644,11.426617693264006,300.01674089572634
2020-12-18,569.8574097269593,140.98833563384323,1411.6040320663597,119.01930260940935,113.3843328657349,125.99980936559223,178.2557688627785,171.64222561516726,95.74550906080549,94.75062247288588,59.7746860356674,74.13528922457044,23.396121458214566,11.498268223945615,296.3449555161573
2020-12-21,572.0552534661365,139.72512660142456,1423.8308588571017,119.48958116380709,112.5724982855636,125.26064305880845,182.2099418458838,172.6897488096938,95.37392094422967,93.17191188507195,61.27964680447349,72.41246935644494,23.362558931919466,11.378400484384542,298.3096384952979
2020-12-22,566.7445634663163,139.29173836763857,1408.4442087113857,117.84023823495863,111.58866318408491,124.80278576947785,183.00377112701608,174.12081106230835,96.36422309968566,93.33241182910251,62.78547788467313,72.06069669509316,23.17579264212418,11.130263975320815,296.2380137748624
2020-12-23,577.3858812369872,142.4099246271362,1421.5390468609985,117.5220352652832,111.87650971318362,124.6774065977661,181.3623831521545,173.27976372194826,95.3912615776062,93.50394809167483,62.56025444214174,72.52197364497988,23.361627110662084,11.594654081791305,298.30164381228764
2020-12-24,580.0643711201956,142.5020246049453,1426.2916485295063,117.705871373415,112.964827520771,125.06351464800355,182.71068187057972,173.3024136591721,95.96924704313278,93.11477437755593,62.51124982303145,72.63313776533596,23.467352277598366,11.82800469815254,299.3165995546167
2020-12-28,581.8717570901354,146.54536019265288,1455.2037509085785,118.98310026525724,113.62467521433427,125.51316118238901,184.31647713478378,172.37883336842424,96.75467398764886,95.27168872953189,65.84955250470193,74.72289140524299,24.194814784448226,11.773771676235583,304.1895830400918
2020-12-29,577.8076747246087,145.0491281680297,1438.8087650947273,118.05182897369377,113.24139712261967,126.10192973748781,183.3771045343019,172.89724584436044,95.57043889828492,96.46217111730948,65.35800655023195,76.36963147262577,24.10122453176882,11.797001710365294,301.92482566652654
2020-12-30,578.587191765826,147.85826742997688,1419.6744430488034,117.66961489522146,112.43823117197735,127.35708625530333,180.91968853676008,171.33016124272035,95.43007909945163,96.76853177257863,64.54771732491099,77.01002564413375,24.132963332618147,11.7849166044262,299.2488335147574
2020-12-31,586.6228137856815,147.3020488701295,1424.3046943689696,117.19610500021372,113.12290439574281,127.95230217231438,180.83079128171084,170.97705364384456,95.87885732666473,95.77316761174006,63.60216493779444,76.77300519958953,23.536784410869586,11.666765332418436,300.0480594834598
